id,type,direction,angle,location,category,rating
8,1,1,-1,1,confidence,3
8,1,1,-1,1,social,4
8,1,1,-1,2,easiness,1
8,1,1,-1,2,comfort,1
8,1,1,-1,2,confidence,2
8,1,1,-1,2,social,4
8,1,1,-1,3,easiness,4
8,1,1,-1,3,comfort,4
8,1,1,-1,3,confidence,6
8,1,1,-1,3,social,5
8,1,1,-1,4,easiness,5
8,1,1,-1,4,comfort,5
8,1,1,-1,4,confidence,4
8,1,1,-1,4,social,5
8,1,1,-1,5,easiness,5
8,1,1,-1,5,comfort,4
8,1,1,-1,5,confidence,6
8,1,1,-1,5,social,6
8,1,1,-1,6,easiness,3
8,1,1,-1,6,comfort,3
8,1,1,-1,6,confidence,5
8,1,1,-1,6,social,5
8,1,1,-1,7,easiness,4
8,1,1,-1,7,comfort,3
8,1,1,-1,7,confidence,5
8,1,1,-1,7,social,5
8,1,1,-1,8,easiness,4
8,1,1,-1,8,comfort,5
8,1,1,-1,8,confidence,5
8,1,1,-1,8,social,6
3,1,0,-1,1,easiness,4
3,1,0,-1,1,comfort,4
3,1,0,-1,1,confidence,4
3,1,0,-1,1,social,2
3,1,0,-1,2,easiness,4
3,1,0,-1,2,comfort,4
3,1,0,-1,2,confidence,4
3,1,0,-1,2,social,2
3,1,0,-1,3,easiness,4
3,1,0,-1,3,comfort,4
3,1,0,-1,3,confidence,4
3,1,0,-1,3,social,2
3,1,0,-1,4,easiness,4
3,1,0,-1,4,comfort,4
3,1,0,-1,4,confidence,4
3,1,0,-1,4,social,2
3,1,0,-1,5,easiness,5
3,1,0,-1,5,comfort,5
3,1,0,-1,5,confidence,5
3,1,0,-1,5,social,6
3,1,0,-1,6,easiness,5
3,1,0,-1,6,comfort,5
3,1,0,-1,6,confidence,5
3,1,0,-1,6,social,6
3,1,0,-1,7,easiness,4
3,1,0,-1,7,comfort,5
3,1,0,-1,7,confidence,5
3,1,0,-1,7,social,6
3,1,0,-1,8,easiness,5
3,1,0,-1,8,comfort,5
3,1,0,-1,8,confidence,5
3,1,0,-1,8,social,6
3,1,1,-1,1,easiness,5
3,1,1,-1,1,comfort,5
3,1,1,-1,1,confidence,5
3,1,1,-1,1,social,6
3,1,1,-1,2,easiness,5
3,1,1,-1,2,comfort,5
3,1,1,-1,2,confidence,5
3,1,1,-1,2,social,6
3,1,1,-1,3,easiness,5
3,1,1,-1,3,comfort,5
